Unnamed: 0,Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Price,Discount,Weather Condition,Promotion,Competitor Pricing,Seasonality,Epidemic,Demand
1202,2022-01-13,S001,P0003,Clothing,North,655,200,895,57.76,20,Cloudy,1,66.42,Winter,0,189
1206,2022-01-13,S001,P0007,Groceries,North,625,170,730,27.05,10,Cloudy,0,31.64,Winter,0,162
1260,2022-01-13,S004,P0001,Groceries,West,774,110,694,12.04,15,Cloudy,1,13.06,Winter,0,182
1284,2022-01-13,S005,P0005,Groceries,North,338,203,497,18.2,25,Cloudy,1,20.26,Winter,0,245
1455,2022-01-15,S003,P0016,Electronics,East,232,223,582,118.07,25,Snowy,1,105.18,Winter,0,243
1493,2022-01-15,S005,P0014,Furniture,North,212,162,465,228.03,0,Sunny,0,194.94,Winter,0,161
1610,2022-01-17,S001,P0011,Furniture,North,262,115,432,183.16,20,Sunny,1,207.86,Winter,0,189
1613,2022-01-17,S001,P0014,Groceries,North,577,187,820,95.67,10,Sunny,1,112.68,Winter,0,237
1643,2022-01-17,S003,P0004,Groceries,East,519,208,665,33.19,10,Cloudy,1,32.41,Winter,0,254
1646,2022-01-17,S003,P0007,Groceries,East,589,143,761,17.93,20,Cloudy,1,16.74,Winter,0,191
1770,2022-01-18,S004,P0011,Clothing,West,771,220,731,63.72,25,Snowy,1,75.31,Winter,0,222
1830,2022-01-19,S002,P0011,Groceries,South,519,217,602,117.97,10,Sunny,0,102.44,Winter,0,191
1854,2022-01-19,S003,P0015,Groceries,East,545,175,787,128.29,0,Snowy,0,122.95,Winter,0,171
1965,2022-01-20,S004,P0006,Groceries,West,527,292,474,46.5,20,Sunny,1,55.85,Winter,0,276
1972,2022-01-20,S004,P0013,Groceries,West,290,238,661,27.14,10,Sunny,0,24.73,Winter,0,217
2006,2022-01-21,S001,P0007,Groceries,North,490,248,791,31.14,15,Sunny,1,27.36,Winter,0,219
2032,2022-01-21,S002,P0013,Groceries,South,476,247,782,26.96,15,Snowy,1,30.73,Winter,0,228
2066,2022-01-21,S004,P0007,Groceries,West,631,177,823,37.73,15,Sunny,1,35.57,Winter,0,240
2146,2022-01-22,S003,P0007,Groceries,East,736,155,788,21.18,0,Snowy,0,18.69,Winter,0,169
2286,2022-01-23,S005,P0007,Groceries,North,360,208,540,106.83,10,Snowy,1,114.52,Winter,0,233
2373,2022-01-24,S004,P0014,Furniture,West,122,122,307,173.31,20,Sunny,1,202.32,Winter,0,156
2654,2022-01-27,S003,P0015,Groceries,East,367,159,785,99.84,25,Snowy,1,116.33,Winter,0,206
2672,2022-01-27,S004,P0013,Groceries,West,627,207,638,24.94,15,Snowy,1,26.78,Winter,0,227
3260,2022-02-02,S004,P0001,Groceries,West,684,187,803,12.65,10,Sunny,1,15.22,Winter,0,179
3269,2022-02-02,S004,P0010,Groceries,West,200,164,895,32.4,10,Sunny,1,36.67,Winter,0,215
3353,2022-02-03,S003,P0014,Groceries,East,518,202,563,128.52,5,Cloudy,0,110.29,Winter,0,205
3385,2022-02-03,S005,P0006,Groceries,North,790,302,937,83.56,15,Cloudy,1,74.78,Winter,0,270
3450,2022-02-04,S003,P0011,Electronics,East,518,244,0,169.32,5,Sunny,0,149.53,Winter,0,206
3544,2022-02-05,S003,P0005,Toys,East,550,184,1007,26.89,15,Sunny,1,31.41,Winter,0,214
3570,2022-02-05,S004,P0011,Clothing,West,149,149,1013,86.49,15,Cloudy,1,73.66,Winter,0,281
3720,2022-02-07,S002,P0001,Groceries,South,546,237,742,115.63,5,Sunny,0,112.4,Winter,0,227
3868,2022-02-08,S004,P0009,Clothing,West,565,133,618,159.58,0,Sunny,0,182.83,Winter,0,210
3902,2022-02-09,S001,P0003,Clothing,North,327,316,1035,71.89,25,Sunny,1,71.52,Winter,0,292
3954,2022-02-09,S003,P0015,Groceries,East,717,172,820,115.73,10,Cloudy,0,107.0,Winter,0,172
3970,2022-02-09,S004,P0011,Clothing,West,1471,255,0,82.7,20,Sunny,1,95.39,Winter,0,315
4059,2022-02-10,S003,P0020,Clothing,East,466,217,789,96.17,10,Snowy,1,89.89,Winter,0,205
4204,2022-02-12,S001,P0005,Groceries,North,157,157,1097,78.87,10,Sunny,1,85.24,Winter,0,243
4246,2022-02-12,S003,P0007,Groceries,East,992,189,1078,19.25,25,Cloudy,1,17.55,Winter,0,248
4268,2022-02-12,S004,P0009,Clothing,West,679,164,708,131.78,20,Snowy,1,145.72,Winter,0,223
4286,2022-02-12,S005,P0007,Groceries,North,298,211,612,107.4,20,Sunny,1,118.17,Winter,0,290
4292,2022-02-12,S005,P0013,Groceries,North,436,155,865,100.0,15,Sunny,1,93.98,Winter,0,250
4344,2022-02-13,S003,P0005,Toys,East,803,210,653,23.4,25,Cloudy,1,22.47,Winter,0,187
4354,2022-02-13,S003,P0015,Groceries,East,1012,246,0,109.56,20,Cloudy,1,130.9,Winter,0,218
4441,2022-02-14,S003,P0002,Groceries,East,534,272,780,72.45,15,Sunny,1,72.07,Winter,0,231
4455,2022-02-14,S003,P0016,Electronics,East,495,216,553,125.17,20,Sunny,1,143.77,Winter,0,263
4610,2022-02-16,S001,P0011,Furniture,North,204,153,309,217.33,0,Sunny,0,197.84,Winter,0,151
4654,2022-02-16,S003,P0015,Groceries,East,586,172,872,96.48,25,Snowy,1,110.88,Winter,0,192
5006,2022-02-20,S001,P0007,Groceries,North,633,208,722,30.63,5,Sunny,0,35.6,Winter,0,188
5152,2022-02-21,S003,P0013,Groceries,East,220,220,883,93.49,15,Sunny,1,81.66,Winter,0,230
5204,2022-02-22,S001,P0005,Groceries,North,714,189,767,57.15,25,Sunny,1,68.35,Winter,0,184
5255,2022-02-22,S003,P0016,Electronics,East,225,225,524,121.1,25,Sunny,1,116.59,Winter,0,254
5360,2022-02-23,S004,P0001,Groceries,West,334,181,917,13.54,10,Sunny,1,15.35,Winter,0,205
5385,2022-02-23,S005,P0006,Groceries,North,421,175,1079,69.2,25,Sunny,1,76.49,Winter,0,264
5972,2022-03-01,S004,P0013,Groceries,West,257,179,722,26.22,10,Sunny,1,29.92,Spring,0,224
6040,2022-03-02,S003,P0001,Toys,East,155,155,548,19.31,25,Cloudy,1,21.44,Spring,0,254
6059,2022-03-02,S003,P0020,Clothing,East,385,223,936,81.61,25,Cloudy,1,70.24,Spring,0,213
6133,2022-03-03,S002,P0014,Electronics,South,616,193,711,139.41,15,Sunny,1,125.82,Spring,0,170
6252,2022-03-04,S003,P0013,Groceries,East,423,243,1081,87.78,20,Sunny,1,80.36,Spring,0,228
6260,2022-03-04,S004,P0001,Groceries,West,619,242,781,13.55,15,Sunny,1,13.45,Spring,0,208
6291,2022-03-04,S005,P0012,Furniture,North,702,186,746,150.12,10,Cloudy,1,179.83,Spring,0,155
6292,2022-03-04,S005,P0013,Groceries,North,450,218,816,88.61,25,Cloudy,1,83.34,Spring,0,252
6380,2022-03-05,S005,P0001,Groceries,North,259,233,524,14.17,20,Sunny,1,13.48,Spring,0,219
6385,2022-03-05,S005,P0006,Groceries,North,847,240,806,79.51,10,Sunny,0,73.08,Spring,0,222
6538,2022-03-07,S002,P0019,Clothing,South,598,192,870,100.69,20,Cloudy,1,88.07,Spring,0,205
6595,2022-03-07,S005,P0016,Toys,North,382,223,662,38.49,25,Sunny,1,37.87,Spring,0,213
6720,2022-03-09,S002,P0001,Groceries,South,406,253,750,95.33,20,Sunny,1,91.55,Spring,0,218
6732,2022-03-09,S002,P0013,Groceries,South,337,233,652,25.05,20,Sunny,1,28.36,Spring,0,222
6752,2022-03-09,S003,P0013,Groceries,East,1015,280,864,96.36,15,Sunny,1,94.66,Spring,0,243
6760,2022-03-09,S004,P0001,Groceries,West,745,168,975,14.82,10,Sunny,1,12.64,Spring,0,222
6802,2022-03-10,S001,P0003,Clothing,North,678,149,1075,67.39,20,Rainy,1,63.48,Spring,0,231
7032,2022-03-12,S002,P0013,Groceries,South,652,256,614,25.99,20,Sunny,1,25.65,Spring,0,216
7043,2022-03-12,S003,P0004,Groceries,East,190,190,695,23.9,25,Cloudy,1,28.86,Spring,0,213
7046,2022-03-12,S003,P0007,Groceries,East,812,177,1253,23.8,10,Cloudy,1,25.26,Spring,0,287
7085,2022-03-12,S005,P0006,Groceries,North,664,234,1005,89.94,5,Sunny,0,88.39,Spring,0,253
7222,2022-03-14,S002,P0003,Groceries,South,125,125,834,102.19,25,Cloudy,1,97.26,Spring,0,279
7330,2022-03-15,S002,P0011,Groceries,South,385,190,634,126.92,0,Sunny,0,150.73,Spring,0,199
7353,2022-03-15,S003,P0014,Groceries,East,634,216,697,125.04,10,Sunny,1,121.91,Spring,0,216
7423,2022-03-16,S002,P0004,Groceries,South,260,237,799,63.48,10,Sunny,1,62.2,Spring,0,276
7632,2022-03-18,S002,P0013,Groceries,South,390,356,1032,33.88,10,Sunny,1,36.7,Spring,0,309
7802,2022-03-20,S001,P0003,Clothing,North,532,215,889,60.67,20,Sunny,1,64.38,Spring,0,209
7841,2022-03-20,S003,P0002,Groceries,East,249,249,808,80.18,10,Sunny,1,91.07,Spring,0,275
7886,2022-03-20,S005,P0007,Groceries,North,389,340,573,122.03,15,Sunny,1,134.62,Spring,0,324
8020,2022-03-22,S002,P0001,Groceries,South,368,287,695,96.38,25,Cloudy,1,93.33,Spring,0,251
8105,2022-03-23,S001,P0006,Toys,North,552,238,669,55.93,15,Sunny,1,54.51,Spring,0,251
8260,2022-03-24,S004,P0001,Groceries,West,0,0,635,13.59,5,Sunny,0,11.99,Spring,0,166
8266,2022-03-24,S004,P0007,Groceries,West,341,184,1137,33.28,25,Sunny,1,30.52,Spring,0,239
8290,2022-03-24,S005,P0011,Electronics,North,694,202,748,105.61,0,Sunny,0,120.81,Spring,0,189
8436,2022-03-26,S002,P0017,Toys,South,540,234,798,28.61,10,Cloudy,1,25.81,Spring,0,227
8459,2022-03-26,S003,P0020,Clothing,East,786,196,815,77.9,25,Sunny,1,87.27,Spring,0,215
8469,2022-03-26,S004,P0010,Groceries,West,840,160,1031,31.77,20,Sunny,1,34.88,Spring,0,258
9013,2022-04-01,S001,P0014,Groceries,North,466,217,835,96.93,10,Cloudy,1,106.78,Spring,0,243
9506,2022-04-06,S001,P0007,Groceries,North,739,142,1006,26.82,25,Cloudy,1,32.2,Spring,0,231
9530,2022-04-06,S002,P0011,Groceries,South,37,37,706,103.55,25,Cloudy,1,91.55,Spring,0,212
9550,2022-04-06,S003,P0011,Electronics,East,279,226,465,140.35,25,Sunny,1,158.14,Spring,0,249
9602,2022-04-07,S001,P0003,Clothing,North,657,224,865,79.74,0,Sunny,0,69.78,Spring,0,208
9646,2022-04-07,S003,P0007,Groceries,East,695,191,929,17.3,25,Sunny,1,16.19,Spring,0,202
9822,2022-04-09,S002,P0003,Groceries,South,573,212,700,88.45,25,Sunny,1,95.77,Spring,0,236
9954,2022-04-10,S003,P0015,Groceries,East,654,160,877,126.11,15,Cloudy,1,139.95,Spring,0,253
10166,2022-04-12,S004,P0007,Groceries,West,714,249,713,40.5,5,Sunny,0,37.95,Spring,0,222
10169,2022-04-12,S004,P0010,Groceries,West,357,218,801,33.18,10,Sunny,1,36.04,Spring,0,225
10344,2022-04-14,S003,P0005,Toys,East,851,187,980,25.28,25,Cloudy,1,29.96,Spring,0,241
10389,2022-04-14,S005,P0010,Groceries,North,257,226,739,65.36,25,Sunny,1,76.56,Spring,0,237
10459,2022-04-15,S003,P0020,Clothing,East,218,213,906,102.89,0,Sunny,0,110.27,Spring,0,211
10546,2022-04-16,S003,P0007,Groceries,East,685,195,785,17.67,25,Cloudy,1,17.38,Spring,0,211
10641,2022-04-17,S003,P0002,Groceries,East,561,228,748,78.79,15,Sunny,1,77.98,Spring,0,269
10663,2022-04-17,S004,P0004,Groceries,West,703,253,754,59.3,25,Sunny,1,53.38,Spring,0,218
10754,2022-04-18,S003,P0015,Groceries,East,722,137,972,124.07,10,Cloudy,1,148.7,Spring,0,221
10906,2022-04-20,S001,P0007,Groceries,North,380,170,1174,32.15,20,Sunny,1,31.58,Spring,0,261
11202,2022-04-23,S001,P0003,Clothing,North,53,53,622,53.36,25,Sunny,1,50.68,Spring,1,164
11454,2022-04-25,S003,P0015,Groceries,East,957,188,0,104.38,15,Sunny,1,116.93,Spring,1,174
11568,2022-04-26,S004,P0009,Clothing,West,158,158,545,138.19,15,Cloudy,1,129.62,Spring,1,197
13234,2022-05-13,S002,P0015,Clothing,South,633,168,728,79.2,10,Sunny,1,93.03,Spring,1,180
13268,2022-05-13,S004,P0009,Clothing,West,177,177,600,117.04,20,Rainy,1,124.25,Spring,1,176
13285,2022-05-13,S005,P0006,Groceries,North,265,215,749,61.16,20,Sunny,1,66.76,Spring,1,184
13402,2022-05-15,S001,P0003,Clothing,North,817,220,646,55.34,25,Cloudy,1,64.21,Spring,1,197
13406,2022-05-15,S001,P0007,Groceries,North,639,99,746,25.44,15,Cloudy,1,28.44,Spring,1,160
13759,2022-05-18,S003,P0020,Clothing,East,584,183,663,70.18,25,Cloudy,1,60.45,Spring,1,154
13854,2022-05-19,S003,P0015,Groceries,East,66,66,692,97.1,25,Rainy,1,85.56,Spring,1,175
13970,2022-05-20,S004,P0011,Clothing,West,238,213,740,58.72,25,Rainy,1,66.68,Spring,1,189
14102,2022-05-22,S001,P0003,Clothing,North,690,161,703,63.36,10,Cloudy,0,73.14,Spring,1,179
14401,2022-05-25,S001,P0002,Clothing,North,177,177,279,89.43,15,Sunny,1,98.73,Spring,1,279
14468,2022-05-25,S004,P0009,Clothing,West,394,201,563,110.89,25,Cloudy,1,120.35,Spring,1,180
14554,2022-05-26,S003,P0015,Groceries,East,529,225,991,113.33,20,Sunny,1,97.63,Spring,0,211
15259,2022-06-02,S003,P0020,Clothing,East,680,260,871,83.15,25,Rainy,1,76.84,Summer,0,221
15293,2022-06-02,S005,P0014,Furniture,North,335,151,416,186.37,10,Sunny,0,216.82,Summer,0,144
15339,2022-06-03,S002,P0020,Furniture,South,615,167,679,170.17,15,Rainy,1,156.31,Summer,0,205
15346,2022-06-03,S003,P0007,Groceries,East,779,246,957,17.64,20,Sunny,1,19.68,Summer,0,205
15388,2022-06-03,S005,P0009,Groceries,North,15,15,768,114.62,20,Sunny,1,111.18,Summer,0,225
15413,2022-06-04,S001,P0014,Groceries,North,319,225,854,98.28,15,Cloudy,1,89.89,Summer,0,252
15453,2022-06-04,S003,P0014,Groceries,East,547,191,743,97.53,25,Rainy,1,114.59,Summer,0,209
15466,2022-06-04,S004,P0007,Groceries,West,23,23,1072,39.49,10,Sunny,1,45.65,Summer,0,258
15472,2022-06-04,S004,P0013,Groceries,West,793,285,789,28.75,10,Sunny,1,26.56,Summer,0,242
15615,2022-06-06,S001,P0016,Groceries,North,653,266,864,42.96,25,Rainy,1,50.51,Summer,0,242
15754,2022-06-07,S003,P0015,Groceries,East,879,286,1147,131.98,10,Rainy,1,159.51,Summer,0,248
15804,2022-06-08,S001,P0005,Groceries,North,719,270,1053,79.92,10,Sunny,1,68.89,Summer,0,226
15811,2022-06-08,S001,P0012,Groceries,North,298,214,490,126.48,0,Sunny,0,122.68,Summer,0,235
15860,2022-06-08,S004,P0001,Groceries,West,688,180,1250,14.0,20,Cloudy,1,15.22,Summer,0,272
15866,2022-06-08,S004,P0007,Groceries,West,1560,221,0,28.36,25,Cloudy,1,32.65,Summer,0,194
16141,2022-06-11,S003,P0002,Groceries,East,787,290,646,82.02,5,Sunny,0,95.8,Summer,0,260
16165,2022-06-11,S004,P0006,Groceries,West,294,258,686,61.05,10,Sunny,1,71.86,Summer,0,357
16252,2022-06-12,S003,P0013,Groceries,East,761,190,1075,96.44,10,Sunny,1,109.72,Summer,0,241
16254,2022-06-12,S003,P0015,Groceries,East,1000,426,1616,163.99,10,Sunny,1,187.26,Summer,0,358
16272,2022-06-12,S004,P0013,Groceries,West,454,181,879,24.48,25,Rainy,1,24.18,Summer,0,252
16289,2022-06-12,S005,P0010,Groceries,North,740,286,854,83.24,5,Cloudy,0,92.18,Summer,0,239
16385,2022-06-13,S005,P0006,Groceries,North,773,271,947,68.88,20,Rainy,1,82.79,Summer,0,233
16404,2022-06-14,S001,P0005,Groceries,North,776,167,1041,90.2,5,Sunny,0,85.8,Summer,0,256
16441,2022-06-14,S003,P0002,Groceries,East,748,279,726,64.18,25,Sunny,1,55.73,Summer,0,233
16461,2022-06-14,S004,P0002,Groceries,West,255,255,585,26.43,25,Rainy,1,25.16,Summer,0,295
16522,2022-06-15,S002,P0003,Groceries,South,504,246,877,118.74,10,Sunny,1,110.49,Summer,0,264
16546,2022-06-15,S003,P0007,Groceries,East,824,144,802,20.52,5,Rainy,0,23.31,Summer,0,197
16560,2022-06-15,S004,P0001,Groceries,West,771,188,887,15.65,5,Cloudy,0,13.44,Summer,0,222
16561,2022-06-15,S004,P0002,Groceries,West,0,0,566,27.91,20,Cloudy,1,33.71,Summer,0,316
16695,2022-06-16,S005,P0016,Toys,North,343,226,691,38.68,25,Rainy,1,37.2,Summer,0,215
16711,2022-06-17,S001,P0012,Groceries,North,527,283,452,117.11,10,Sunny,1,141.31,Summer,0,271
16785,2022-06-17,S005,P0006,Groceries,North,1016,190,1215,82.67,15,Sunny,1,91.18,Summer,0,290
16788,2022-06-17,S005,P0009,Groceries,North,240,240,723,118.3,15,Sunny,1,131.94,Summer,0,235
16883,2022-06-18,S005,P0004,Groceries,North,247,247,359,10.99,20,Rainy,1,10.41,Summer,0,309
16932,2022-06-19,S002,P0013,Groceries,South,425,225,721,28.98,10,Cloudy,1,28.69,Summer,0,213
17015,2022-06-20,S001,P0016,Groceries,North,218,195,730,43.14,25,Cloudy,1,40.64,Summer,0,222
17041,2022-06-20,S003,P0002,Groceries,East,459,204,783,83.31,5,Cloudy,0,75.57,Summer,0,243
17052,2022-06-20,S003,P0013,Groceries,East,754,177,899,90.43,20,Cloudy,1,107.26,Summer,0,265
17122,2022-06-21,S002,P0003,Groceries,South,436,218,687,106.9,0,Cloudy,0,121.84,Summer,0,195
17160,2022-06-21,S004,P0001,Groceries,West,740,211,656,12.29,20,Cloudy,1,11.54,Summer,0,193
17186,2022-06-21,S005,P0007,Groceries,North,444,320,622,110.58,15,Sunny,1,130.7,Summer,0,275
17254,2022-06-22,S003,P0015,Groceries,East,1045,217,0,130.94,10,Cloudy,1,112.83,Summer,0,222
17385,2022-06-23,S005,P0006,Groceries,North,1422,193,0,68.88,25,Rainy,1,61.8,Summer,0,239
17454,2022-06-24,S003,P0015,Groceries,East,724,249,977,130.24,10,Sunny,1,110.92,Summer,0,220
17552,2022-06-25,S003,P0013,Groceries,East,984,238,814,77.75,25,Rainy,1,86.37,Summer,0,226
17602,2022-06-26,S001,P0003,Clothing,North,605,258,1082,71.97,15,Sunny,1,78.43,Summer,0,257
17613,2022-06-26,S001,P0014,Groceries,North,790,201,697,87.28,20,Sunny,1,105.59,Summer,0,249
17660,2022-06-26,S004,P0001,Groceries,West,729,181,1182,13.43,20,Sunny,1,14.81,Summer,0,253
17669,2022-06-26,S004,P0010,Groceries,West,697,244,838,35.44,5,Sunny,0,40.21,Summer,0,230
17743,2022-06-27,S003,P0004,Groceries,East,789,279,657,26.97,25,Sunny,1,28.86,Summer,0,266
17763,2022-06-27,S004,P0004,Groceries,West,761,231,696,67.69,25,Cloudy,1,65.1,Summer,0,278
17934,2022-06-29,S002,P0015,Clothing,South,663,152,729,78.27,5,Sunny,0,92.12,Summer,1,156
18476,2022-07-04,S004,P0017,Clothing,West,157,157,207,108.34,25,Sunny,1,123.13,Summer,1,240
18665,2022-07-06,S004,P0006,Groceries,West,291,219,513,45.75,10,Sunny,1,52.53,Summer,1,216
18852,2022-07-08,S003,P0013,Groceries,East,388,134,867,98.03,0,Sunny,0,88.37,Summer,1,182
18931,2022-07-09,S002,P0012,Electronics,South,310,171,703,69.88,25,Cloudy,1,74.0,Summer,1,201
18966,2022-07-09,S004,P0007,Groceries,West,566,108,633,25.69,25,Cloudy,1,23.23,Summer,1,138
19346,2022-07-13,S003,P0007,Groceries,East,493,119,685,16.24,20,Rainy,1,14.07,Summer,1,154
19361,2022-07-13,S004,P0002,Groceries,West,0,0,373,19.06,25,Sunny,1,17.82,Summer,1,155
19404,2022-07-14,S001,P0005,Groceries,North,540,162,746,59.6,25,Cloudy,1,67.46,Summer,1,201
19538,2022-07-15,S002,P0019,Clothing,South,715,209,715,99.8,10,Cloudy,1,118.0,Summer,1,175
19759,2022-07-17,S003,P0020,Clothing,East,551,149,891,89.15,15,Rainy,1,88.61,Summer,1,198
19761,2022-07-17,S004,P0002,Groceries,West,385,212,359,21.47,20,Sunny,1,22.89,Summer,1,195
19763,2022-07-17,S004,P0004,Groceries,West,397,183,628,55.22,25,Sunny,1,65.92,Summer,1,210
19904,2022-07-19,S001,P0005,Groceries,North,738,196,632,58.33,20,Cloudy,1,62.76,Summer,1,168
20060,2022-07-20,S004,P0001,Groceries,West,535,98,710,12.41,10,Sunny,1,11.68,Summer,1,152
20332,2022-07-23,S002,P0013,Groceries,South,43,43,438,20.56,25,Sunny,1,18.93,Summer,1,151
20366,2022-07-23,S004,P0007,Groceries,West,45,45,704,33.46,0,Sunny,0,38.4,Summer,1,148
20368,2022-07-23,S004,P0009,Clothing,West,375,201,440,107.83,25,Sunny,1,116.34,Summer,1,169
20376,2022-07-23,S004,P0017,Clothing,West,169,169,274,136.96,10,Sunny,1,156.75,Summer,1,264
20468,2022-07-24,S004,P0009,Clothing,West,174,174,726,126.26,25,Rainy,1,152.47,Summer,1,233
20488,2022-07-24,S005,P0009,Groceries,North,4,4,556,98.05,20,Rainy,1,88.88,Summer,1,163
20652,2022-07-26,S003,P0013,Groceries,East,313,295,798,97.06,15,Sunny,1,92.0,Summer,0,246
20660,2022-07-26,S004,P0001,Groceries,West,729,178,700,15.46,0,Sunny,0,13.26,Summer,0,196
20788,2022-07-27,S005,P0009,Groceries,North,684,191,806,123.67,20,Rainy,1,141.63,Summer,0,283
20866,2022-07-28,S004,P0007,Groceries,West,948,198,1069,34.76,15,Sunny,1,40.26,Summer,0,226
21043,2022-07-30,S003,P0004,Groceries,East,480,241,935,36.51,5,Sunny,0,32.05,Summer,0,273
21068,2022-07-30,S004,P0009,Clothing,West,646,135,514,155.11,0,Sunny,0,175.72,Summer,0,198
21384,2022-08-02,S005,P0005,Groceries,North,412,301,464,20.9,20,Rainy,1,25.24,Summer,0,280
21415,2022-08-03,S001,P0016,Groceries,North,209,196,729,56.28,0,Sunny,0,62.38,Summer,0,234
21492,2022-08-03,S005,P0013,Groceries,North,676,306,719,108.71,10,Sunny,1,97.35,Summer,0,262
21585,2022-08-04,S005,P0006,Groceries,North,732,253,1119,65.7,25,Sunny,1,75.62,Summer,0,241
21613,2022-08-05,S001,P0014,Groceries,North,533,241,578,102.96,0,Cloudy,0,109.17,Summer,0,223
21666,2022-08-05,S004,P0007,Groceries,West,899,205,885,36.88,15,Cloudy,1,36.79,Summer,0,230
21715,2022-08-06,S001,P0016,Groceries,North,729,186,929,58.57,10,Sunny,1,70.36,Summer,0,303
21853,2022-08-07,S003,P0014,Groceries,East,667,182,753,99.09,25,Rainy,1,115.13,Summer,0,216
21854,2022-08-07,S003,P0015,Groceries,East,263,242,786,105.21,25,Rainy,1,112.43,Summer,0,228
21885,2022-08-07,S005,P0006,Groceries,North,299,299,1447,107.68,10,Cloudy,1,101.06,Summer,0,373
21888,2022-08-07,S005,P0009,Groceries,North,618,205,688,125.67,0,Cloudy,0,133.51,Summer,0,192
21943,2022-08-08,S003,P0004,Groceries,East,510,198,762,24.49,25,Cloudy,1,29.41,Summer,0,223
22004,2022-08-09,S001,P0005,Groceries,North,816,231,749,79.07,0,Sunny,0,85.54,Summer,0,199
22013,2022-08-09,S001,P0014,Groceries,North,568,204,737,105.26,10,Sunny,1,101.3,Summer,0,257
22069,2022-08-09,S004,P0010,Groceries,West,499,215,754,26.57,25,Sunny,1,31.7,Summer,0,208
22089,2022-08-09,S005,P0010,Groceries,North,500,256,869,80.9,15,Sunny,1,96.78,Summer,0,277
22160,2022-08-10,S004,P0001,Groceries,West,352,227,906,13.6,10,Sunny,0,15.61,Summer,0,207
22330,2022-08-12,S002,P0011,Groceries,South,0,0,560,110.1,20,Cloudy,1,126.52,Summer,0,233
22404,2022-08-13,S001,P0005,Groceries,North,954,231,933,74.31,15,Cloudy,1,78.59,Summer,0,242
22613,2022-08-15,S001,P0014,Groceries,North,622,218,789,86.22,20,Cloudy,1,77.18,Summer,0,221
