Date,Store ID,Product ID,Demand,Forecast_RandomForest,Forecast_XGBoost,Forecast_Ensemble
2023-06-10,S001,P0014,180,179.66,184.47,182.31
2023-06-10,S001,P0004,126,125.92,126.62,126.31
2023-06-10,S003,P0004,100,99.93,100.38,100.18
2023-06-10,S002,P0008,149,148.91,149.78,149.39
2023-06-10,S003,P0012,99,106.81,101.35,103.81
2023-06-10,S002,P0014,168,170.01,169.09,169.5
2023-06-10,S001,P0007,67,66.94,68.69,67.9
2023-06-10,S002,P0016,114,114.13,114.96,114.59
2023-06-10,S001,P0016,88,87.62,85.21,86.29
2023-06-10,S005,P0013,176,175.16,179.5,177.55
2023-06-10,S003,P0014,230,226.15,230.71,228.66
2023-06-10,S003,P0017,55,52.09,50.94,51.46
2023-06-10,S003,P0018,53,55.5,57.01,56.33
2023-06-10,S003,P0003,110,110.02,109.39,109.67
2023-06-10,S001,P0002,121,121.03,119.68,120.29
2023-06-10,S005,P0006,68,68.12,66.12,67.02
2023-06-10,S002,P0011,107,104.18,104.59,104.41
2023-06-10,S005,P0018,118,118.06,117.0,117.48
2023-06-10,S004,P0002,220,216.85,216.39,216.6
2023-06-10,S004,P0006,95,95.14,95.83,95.52
2023-06-10,S003,P0020,76,76.0,77.05,76.58
2023-06-10,S005,P0010,92,92.12,91.46,91.76
2023-06-10,S004,P0017,117,108.01,108.8,108.44
2023-06-10,S002,P0013,180,180.37,181.38,180.93
2023-06-10,S005,P0015,242,241.44,234.68,237.72
2023-06-10,S001,P0015,156,155.93,154.83,155.33
2023-06-10,S001,P0017,65,69.29,68.84,69.04
2023-06-10,S002,P0002,60,65.55,62.61,63.93
2023-06-10,S005,P0016,107,107.73,107.37,107.53
2023-06-10,S002,P0017,150,150.02,147.96,148.89
2023-06-10,S004,P0014,74,74.03,74.46,74.27
2023-06-10,S005,P0008,64,66.9,65.82,66.31
2023-06-10,S003,P0015,106,106.1,106.34,106.23
2023-06-10,S004,P0018,66,66.22,65.45,65.8
2023-06-10,S001,P0011,42,45.3,41.99,43.48
2023-06-10,S004,P0001,114,113.91,113.49,113.68
2023-06-10,S005,P0012,83,83.11,84.96,84.13
2023-06-10,S002,P0005,79,78.9,79.97,79.49
2023-06-10,S002,P0012,153,155.26,154.78,155.0
2023-06-10,S004,P0012,185,180.19,185.35,183.03
2023-06-10,S003,P0006,89,89.0,89.28,89.15
2023-06-10,S003,P0016,119,118.42,118.63,118.54
2023-06-10,S004,P0011,47,44.4,43.99,44.17
2023-06-10,S003,P0007,145,136.78,140.22,138.67
2023-06-10,S004,P0009,144,143.87,145.3,144.66
2023-06-10,S003,P0010,104,104.03,103.77,103.89
2023-06-10,S005,P0004,128,127.91,126.04,126.88
2023-06-10,S005,P0017,70,70.08,68.66,69.3
2023-06-10,S003,P0008,61,61.14,62.33,61.79
2023-06-10,S001,P0009,159,156.66,159.31,158.12
2023-06-10,S003,P0011,104,104.01,105.42,104.79
2023-06-10,S005,P0019,83,77.22,77.93,77.61
2023-06-10,S005,P0011,56,56.12,57.16,56.69
2023-06-10,S002,P0019,137,129.3,129.77,129.56
2023-06-10,S003,P0009,65,64.91,64.04,64.43
2023-06-10,S004,P0013,201,201.38,199.18,200.17
2023-06-10,S003,P0002,145,145.2,147.44,146.43
2023-06-10,S002,P0006,55,54.92,55.72,55.36
2023-06-10,S001,P0018,126,125.45,127.51,126.58
2023-06-10,S005,P0020,112,112.23,113.38,112.86
2023-06-10,S004,P0003,44,44.15,45.35,44.81
2023-06-10,S004,P0019,123,124.4,123.16,123.72
2023-06-10,S002,P0009,117,117.38,116.63,116.97
2023-06-10,S002,P0015,77,77.35,76.27,76.76
2023-06-10,S001,P0001,53,53.15,51.17,52.06
2023-06-10,S001,P0008,90,90.19,91.04,90.66
2023-06-10,S004,P0016,59,53.42,53.47,53.45
2023-06-10,S001,P0005,127,126.94,128.19,127.63
2023-06-10,S004,P0008,103,103.13,101.89,102.45
2023-06-10,S002,P0003,128,127.91,128.92,128.47
2023-06-10,S002,P0004,89,88.91,86.53,87.6
2023-06-10,S005,P0005,145,144.71,143.62,144.11
2023-06-10,S002,P0001,153,152.95,152.64,152.78
2023-06-10,S002,P0007,183,182.04,182.04,182.04
2023-06-10,S001,P0010,91,90.79,89.03,89.82
2023-06-10,S001,P0020,85,84.92,84.62,84.76
2023-06-10,S001,P0013,94,94.03,95.31,94.73
2023-06-10,S003,P0001,99,98.83,96.89,97.76
2023-06-10,S004,P0015,158,157.44,159.68,158.67
2023-06-10,S001,P0019,98,97.83,98.4,98.14
2023-06-10,S005,P0001,110,110.21,112.03,111.21
2023-06-10,S004,P0004,149,148.82,149.18,149.02
2023-06-10,S005,P0002,106,105.92,104.98,105.4
2023-06-10,S005,P0014,72,71.81,72.02,71.93
2023-06-10,S005,P0009,167,167.87,164.5,166.02
2023-06-10,S004,P0005,103,101.51,101.02,101.24
2023-06-10,S003,P0013,110,102.13,105.11,103.77
2023-06-11,S002,P0008,95,94.93,92.18,93.42
2023-06-11,S003,P0015,98,98.24,99.33,98.84
2023-06-11,S001,P0019,114,113.78,112.34,112.99
2023-06-11,S001,P0011,77,78.13,77.2,77.62
2023-06-11,S004,P0017,87,87.07,87.23,87.16
2023-06-11,S001,P0015,90,90.14,88.48,89.23
2023-06-11,S004,P0013,207,205.3,203.88,204.52
2023-06-11,S004,P0019,162,161.69,160.82,161.21
2023-06-11,S001,P0016,110,110.34,112.36,111.45
2023-06-11,S001,P0008,94,94.09,94.98,94.58
2023-06-11,S004,P0009,154,153.37,154.58,154.04
2023-06-11,S002,P0018,59,59.08,58.24,58.62
2023-06-11,S002,P0016,73,73.47,72.65,73.02
2023-06-11,S003,P0001,96,89.28,91.75,90.64
2023-06-11,S004,P0003,135,134.95,136.58,135.85
2023-06-11,S001,P0004,135,134.85,133.74,134.24
2023-06-11,S005,P0002,105,105.21,103.66,104.36
2023-06-11,S002,P0004,180,182.44,186.02,184.41
2023-06-11,S005,P0005,149,148.89,148.46,148.65
2023-06-11,S004,P0004,128,127.83,127.44,127.62
2023-06-11,S004,P0018,92,91.94,93.53,92.81
2023-06-11,S005,P0001,192,191.45,192.6,192.08
2023-06-11,S005,P0014,91,85.96,87.76,86.95
2023-06-11,S004,P0008,99,98.94,99.02,98.98
2023-06-11,S002,P0015,80,80.09,80.21,80.16
2023-06-11,S004,P0001,106,116.21,113.94,114.96
2023-06-11,S002,P0012,63,59.33,60.01,59.7
2023-06-11,S003,P0006,125,123.1,122.26,122.64
2023-06-11,S003,P0007,123,125.69,124.49,125.03
2023-06-11,S003,P0010,120,120.0,120.89,120.49
2023-06-11,S003,P0008,104,102.5,103.16,102.86
2023-06-11,S003,P0016,162,151.8,155.01,153.57
2023-06-11,S005,P0011,97,97.12,96.73,96.91
2023-06-11,S002,P0019,66,68.72,67.79,68.21
2023-06-11,S005,P0019,74,74.58,72.73,73.56
2023-06-11,S003,P0002,137,137.16,136.33,136.7
2023-06-11,S005,P0020,129,140.02,133.43,136.4
2023-06-11,S001,P0010,47,52.06,52.17,52.12
2023-06-11,S002,P0007,80,81.99,84.77,83.52
2023-06-11,S002,P0003,169,168.56,168.5,168.53
2023-06-11,S004,P0015,96,105.38,98.67,101.69
2023-06-11,S003,P0012,113,120.84,118.52,119.56
2023-06-11,S003,P0020,103,105.99,104.01,104.9
2023-06-11,S001,P0012,129,136.44,136.43,136.43
2023-06-11,S001,P0017,121,121.32,124.19,122.9
2023-06-11,S002,P0013,187,188.32,185.4,186.71
2023-06-11,S004,P0002,298,264.4,297.75,282.74
2023-06-11,S003,P0014,209,204.21,207.29,205.9
2023-06-11,S003,P0003,147,145.92,148.46,147.32
2023-06-11,S005,P0013,338,307.74,289.2,297.54
2023-06-11,S001,P0002,68,67.86,65.81,66.73
2023-06-11,S001,P0001,89,94.38,92.9,93.57
2023-06-11,S005,P0010,182,174.6,177.5,176.2
2023-06-11,S002,P0020,86,85.47,86.5,86.04
2023-06-11,S002,P0010,132,132.1,132.66,132.41
2023-06-11,S003,P0019,266,264.65,266.12,265.46
2023-06-11,S002,P0005,168,159.46,161.87,160.79
2023-06-11,S005,P0003,75,82.02,82.14,82.09
2023-06-11,S005,P0007,258,249.62,255.97,253.11
2023-06-11,S004,P0010,190,184.49,186.49,185.59
2023-06-11,S001,P0006,123,115.86,119.17,117.68
2023-06-11,S001,P0003,174,174.3,176.7,175.62
2023-06-11,S004,P0016,93,97.95,94.96,96.31
2023-06-11,S005,P0015,246,242.73,235.07,238.52
2023-06-11,S005,P0012,134,133.64,131.6,132.52
2023-06-11,S004,P0014,112,113.2,113.36,113.29
2023-06-11,S005,P0006,226,226.06,226.17,226.12
2023-06-11,S003,P0017,62,63.38,63.84,63.63
2023-06-11,S003,P0004,134,134.46,132.02,133.12
2023-06-11,S005,P0016,103,110.49,105.9,107.97
2023-06-11,S004,P0020,109,101.82,103.79,102.9
2023-06-11,S005,P0018,128,128.0,125.54,126.65
2023-06-11,S002,P0014,64,64.03,64.06,64.05
2023-06-11,S001,P0007,291,288.41,291.78,290.26
2023-06-11,S002,P0002,80,80.04,79.97,80.0
2023-06-11,S002,P0017,93,91.39,91.31,91.35
2023-06-11,S002,P0011,171,170.21,173.62,172.09
2023-06-11,S004,P0007,235,227.99,220.29,223.76
2023-06-11,S004,P0006,103,100.8,102.79,101.89
2023-06-11,S003,P0018,151,150.59,152.8,151.81
2023-06-11,S005,P0004,196,199.6,194.59,196.84
2023-06-11,S003,P0005,140,139.92,138.27,139.01
2023-06-11,S002,P0001,188,187.8,189.16,188.55
2023-06-11,S001,P0014,174,173.34,171.22,172.17
2023-06-11,S005,P0009,253,248.57,249.43,249.04
2023-06-11,S002,P0009,157,157.94,156.14,156.95
2023-06-11,S004,P0012,81,80.86,82.6,81.82
2023-06-11,S004,P0011,124,124.08,122.25,123.07
2023-06-11,S003,P0011,133,142.98,139.72,141.19
2023-06-11,S001,P0018,171,170.28,170.77,170.55
2023-06-11,S001,P0009,205,205.4,201.72,203.38
2023-06-11,S005,P0017,75,71.73,70.93,71.29
2023-06-11,S005,P0008,201,206.45,196.07,200.74
2023-06-11,S002,P0006,144,144.85,140.94,142.7
2023-06-11,S001,P0013,105,104.54,103.2,103.8
2023-06-11,S001,P0005,234,232.24,233.26,232.8
2023-06-11,S001,P0020,115,115.21,117.47,116.45
2023-06-11,S003,P0013,208,216.9,217.88,217.44
2023-06-11,S004,P0005,126,126.16,126.37,126.28
2023-06-11,S003,P0009,152,151.83,150.65,151.18
2023-06-12,S005,P0020,173,172.93,172.11,172.48
2023-06-12,S004,P0002,136,124.23,125.81,125.1
2023-06-12,S001,P0018,143,140.05,143.92,142.18
2023-06-12,S005,P0019,48,47.8,49.33,48.64
2023-06-12,S004,P0017,86,85.81,85.55,85.67
2023-06-12,S001,P0002,86,85.98,87.01,86.55
2023-06-12,S003,P0006,77,76.96,77.82,77.43
2023-06-12,S002,P0007,99,99.42,99.87,99.67
2023-06-12,S001,P0005,237,234.14,235.56,234.92
2023-06-12,S002,P0013,112,105.84,109.14,107.66
2023-06-12,S002,P0001,178,188.85,180.83,184.44
2023-06-12,S004,P0006,167,167.18,166.14,166.61
2023-06-12,S004,P0005,102,101.97,101.06,101.47
2023-06-12,S004,P0020,73,72.98,73.41,73.22
2023-06-12,S004,P0013,121,121.21,120.8,120.98
2023-06-12,S002,P0020,106,108.19,108.2,108.2
2023-06-12,S005,P0018,94,94.21,93.66,93.91
2023-06-12,S002,P0010,107,106.84,105.02,105.84
2023-06-12,S005,P0005,220,220.29,227.99,224.53
2023-06-12,S004,P0019,72,72.29,72.69,72.51
2023-06-12,S001,P0017,108,108.05,108.33,108.2
2023-06-12,S001,P0014,144,144.25,143.7,143.95
2023-06-12,S005,P0016,129,128.81,130.36,129.66
2023-06-12,S004,P0003,56,56.06,55.63,55.82
2023-06-12,S005,P0012,55,54.99,56.15,55.63
2023-06-12,S002,P0006,145,144.88,145.93,145.46
2023-06-12,S002,P0003,188,187.2,188.11,187.7
2023-06-12,S002,P0014,93,89.17,90.87,90.11
2023-06-12,S001,P0008,63,63.94,66.1,65.13
2023-06-12,S004,P0016,91,91.45,91.91,91.7
2023-06-12,S003,P0012,69,66.08,67.66,66.95
2023-06-12,S002,P0011,84,84.11,85.43,84.84
2023-06-12,S002,P0017,116,125.55,120.5,122.77
2023-06-12,S001,P0009,34,33.92,33.73,33.82
2023-06-12,S005,P0011,82,82.0,82.6,82.33
2023-06-12,S002,P0002,119,119.14,118.66,118.88
2023-06-12,S004,P0007,165,164.61,166.87,165.85
2023-06-12,S005,P0015,133,124.21,124.82,124.55
2023-06-12,S005,P0003,80,75.26,77.08,76.26
2023-06-12,S005,P0010,196,195.68,196.05,195.88
2023-06-12,S003,P0020,54,54.06,53.08,53.52
2023-06-12,S003,P0019,121,121.02,122.71,121.95
2023-06-12,S002,P0016,173,173.62,171.97,172.71
2023-06-12,S001,P0012,181,186.06,191.4,189.0
2023-06-12,S004,P0009,155,155.88,152.9,154.24
2023-06-12,S003,P0018,89,89.2,90.29,89.8
2023-06-12,S003,P0016,153,153.2,152.65,152.9
2023-06-12,S002,P0005,161,160.69,161.23,160.99
2023-06-12,S001,P0003,83,90.35,88.95,89.58
2023-06-12,S004,P0010,147,147.19,148.48,147.9
2023-06-12,S003,P0003,55,54.22,55.16,54.74
2023-06-12,S003,P0005,142,145.74,145.37,145.54
2023-06-12,S004,P0014,89,89.2,88.33,88.72
2023-06-12,S005,P0008,144,143.33,145.88,144.73
2023-06-12,S003,P0013,77,83.73,83.25,83.47
2023-06-12,S005,P0002,57,56.99,58.15,57.63
2023-06-12,S005,P0017,26,25.96,26.59,26.31
2023-06-12,S005,P0013,195,202.11,213.34,208.29
2023-06-12,S001,P0007,191,204.51,211.42,208.31
2023-06-12,S003,P0014,100,100.15,99.57,99.83
2023-06-12,S003,P0015,147,142.75,145.97,144.52
2023-06-12,S001,P0016,162,161.94,163.71,162.91
2023-06-12,S005,P0014,90,92.76,89.81,91.14
2023-06-12,S005,P0009,110,116.86,116.32,116.56
2023-06-12,S003,P0001,43,42.52,43.04,42.81
2023-06-12,S003,P0009,163,162.38,158.73,160.37
2023-06-12,S002,P0009,89,89.27,89.07,89.16
2023-06-12,S003,P0017,79,79.24,79.94,79.63
2023-06-12,S004,P0008,48,49.43,49.44,49.44
2023-06-12,S002,P0019,63,62.94,61.14,61.95
2023-06-12,S002,P0012,163,161.36,163.14,162.34
2023-06-12,S003,P0007,160,167.63,164.56,165.94
2023-06-12,S001,P0006,89,88.96,90.11,89.59
2023-06-12,S002,P0018,111,110.95,113.86,112.55
2023-06-12,S004,P0001,133,133.0,130.38,131.56
2023-06-12,S005,P0004,87,87.02,86.75,86.87
2023-06-12,S004,P0012,174,174.9,175.51,175.24
2023-06-12,S004,P0011,51,49.57,49.69,49.64
2023-06-12,S003,P0011,40,39.93,42.05,41.1
2023-06-12,S001,P0011,58,58.1,57.12,57.56
2023-06-12,S002,P0008,129,128.93,129.27,129.12
2023-06-12,S001,P0013,61,60.98,60.69,60.82
2023-06-12,S003,P0010,140,140.28,138.62,139.37
2023-06-12,S001,P0020,98,98.06,98.34,98.21
2023-06-12,S003,P0008,48,47.47,49.3,48.48
2023-06-12,S001,P0015,114,113.8,115.38,114.67
2023-06-12,S002,P0004,214,212.71,213.7,213.25
2023-06-12,S005,P0006,141,141.16,139.92,140.48
2023-06-12,S004,P0018,67,67.09,67.32,67.22
2023-06-12,S002,P0015,75,71.48,72.28,71.92
2023-06-12,S001,P0001,132,132.21,133.82,133.1
2023-06-12,S001,P0010,49,49.58,49.26,49.4
2023-06-12,S001,P0019,60,60.22,58.5,59.27
2023-06-12,S004,P0015,53,53.18,52.73,52.93
2023-06-12,S005,P0007,152,152.1,149.07,150.43
2023-06-12,S003,P0004,91,87.31,88.38,87.9
2023-06-12,S003,P0002,202,201.24,205.11,203.37
2023-06-12,S004,P0004,133,135.41,135.92,135.69
2023-06-12,S001,P0004,110,110.32,113.02,111.8
2023-06-12,S005,P0001,115,115.17,113.37,114.18
2023-06-13,S005,P0019,78,71.03,71.8,71.45
2023-06-13,S004,P0003,79,79.15,78.57,78.83
2023-06-13,S004,P0012,72,70.56,71.51,71.08
2023-06-13,S003,P0019,165,165.82,166.03,165.94
2023-06-13,S003,P0011,89,95.35,98.6,97.14
2023-06-13,S003,P0009,210,208.07,209.54,208.88
2023-06-13,S004,P0018,54,53.97,53.96,53.96
2023-06-13,S002,P0007,81,82.04,81.57,81.78
2023-06-13,S002,P0011,76,70.76,72.97,71.98
2023-06-13,S001,P0006,115,115.39,116.21,115.84
2023-06-13,S005,P0003,99,99.02,100.37,99.76
2023-06-13,S005,P0008,184,183.64,178.34,180.72
2023-06-13,S004,P0007,133,134.21,131.2,132.55
2023-06-13,S001,P0014,130,130.22,128.8,129.44
2023-06-13,S003,P0010,134,133.98,133.12,133.51
2023-06-13,S003,P0008,67,66.92,65.57,66.18
2023-06-13,S005,P0002,103,93.22,97.06,95.33
2023-06-13,S004,P0011,79,79.01,79.46,79.26
2023-06-13,S001,P0018,198,201.99,205.49,203.92
2023-06-13,S003,P0012,54,53.82,54.42,54.15
2023-06-13,S003,P0020,101,100.8,101.23,101.04
2023-06-13,S001,P0010,69,69.85,70.33,70.11
2023-06-13,S004,P0001,109,108.88,108.15,108.48
2023-06-13,S004,P0010,134,133.89,133.02,133.41
2023-06-13,S004,P0015,67,67.03,66.3,66.63
2023-06-13,S001,P0002,158,158.38,160.13,159.34
2023-06-13,S005,P0009,260,257.93,247.02,251.93
2023-06-13,S005,P0014,77,76.81,76.44,76.61
2023-06-13,S001,P0008,119,120.27,117.59,118.8
2023-06-13,S002,P0020,67,66.97,67.3,67.15
2023-06-13,S004,P0013,136,136.19,134.08,135.03
2023-06-13,S001,P0003,105,114.26,112.5,113.29
2023-06-13,S005,P0001,234,227.85,215.88,221.27
2023-06-13,S002,P0003,178,177.64,178.16,177.93
2023-06-13,S002,P0001,205,205.77,209.95,208.07
2023-06-13,S005,P0020,136,135.95,136.99,136.52
2023-06-13,S005,P0013,94,93.96,94.4,94.2
2023-06-13,S002,P0009,134,135.33,134.51,134.88
2023-06-13,S004,P0004,181,183.93,190.42,187.5
2023-06-13,S002,P0019,53,52.94,51.15,51.96
2023-06-13,S003,P0007,31,31.03,33.41,32.34
2023-06-13,S003,P0002,161,154.55,158.44,156.69
2023-06-13,S003,P0018,61,60.99,60.67,60.81
2023-06-13,S005,P0007,133,143.42,138.82,140.89
2023-06-13,S002,P0012,120,120.04,120.23,120.14
2023-06-13,S004,P0014,128,127.77,128.64,128.25
2023-06-13,S004,P0016,87,87.07,89.04,88.15
2023-06-13,S003,P0005,18,18.31,18.82,18.59
2023-06-13,S001,P0005,169,168.79,166.92,167.76
2023-06-13,S005,P0005,144,145.58,148.61,147.25
2023-06-13,S005,P0006,180,172.02,173.24,172.69
2023-06-13,S004,P0019,71,71.14,70.53,70.8
2023-06-13,S004,P0005,86,85.82,86.46,86.17
2023-06-13,S004,P0006,69,68.89,74.65,72.06
2023-06-13,S004,P0008,73,73.01,71.41,72.13
2023-06-13,S003,P0017,82,82.18,81.54,81.83
2023-06-13,S002,P0005,89,89.0,88.5,88.72
2023-06-13,S001,P0016,184,181.33,190.6,186.43
2023-06-13,S003,P0014,148,134.39,140.01,137.48
2023-06-13,S002,P0014,142,141.96,142.99,142.53
2023-06-13,S005,P0017,143,142.87,145.27,144.19
2023-06-13,S003,P0001,123,123.12,124.46,123.86
2023-06-13,S005,P0012,82,82.29,80.89,81.52
2023-06-13,S004,P0017,98,101.7,99.47,100.47
2023-06-13,S004,P0002,56,55.95,57.08,56.57
2023-06-13,S003,P0004,151,143.77,145.77,144.87
2023-06-13,S003,P0006,114,114.19,113.12,113.6
2023-06-13,S001,P0001,137,136.55,137.33,136.98
2023-06-13,S002,P0015,101,101.44,100.79,101.08
2023-06-13,S001,P0004,72,72.3,72.49,72.4
2023-06-13,S002,P0013,172,171.07,170.27,170.63
2023-06-13,S001,P0015,115,115.3,112.01,113.49
2023-06-13,S004,P0020,61,61.06,60.11,60.54
2023-06-13,S005,P0018,115,115.03,115.21,115.13
2023-06-13,S003,P0015,209,206.42,201.39,203.65
2023-06-13,S001,P0019,100,99.72,100.26,100.02
2023-06-13,S001,P0017,110,108.28,111.05,109.8
2023-06-13,S005,P0016,100,100.18,103.86,102.2
2023-06-13,S002,P0004,264,245.71,249.31,247.69
2023-06-13,S002,P0006,104,101.88,103.3,102.66
2023-06-13,S003,P0003,74,74.08,74.27,74.18
2023-06-13,S005,P0011,56,56.28,55.12,55.64
2023-06-13,S001,P0012,238,238.97,233.75,236.1
2023-06-13,S003,P0013,137,136.8,138.82,137.91
2023-06-13,S002,P0008,198,197.53,197.77,197.66
2023-06-13,S001,P0013,78,78.18,78.03,78.1
2023-06-13,S002,P0002,79,74.94,75.21,75.09
2023-06-13,S004,P0009,72,70.36,70.62,70.5
2023-06-13,S002,P0017,215,210.77,212.16,211.53
2023-06-13,S005,P0015,171,166.02,170.26,168.35
2023-06-13,S002,P0016,137,136.87,140.14,138.67
2023-06-13,S001,P0011,68,68.17,68.75,68.49
2023-06-13,S005,P0010,159,161.24,159.81,160.45
2023-06-13,S003,P0016,89,88.66,90.16,89.49
2023-06-13,S001,P0007,138,137.81,135.98,136.8
2023-06-13,S002,P0010,65,62.53,63.31,62.96
2023-06-13,S005,P0004,264,262.46,265.15,263.94
2023-06-13,S002,P0018,94,94.06,94.24,94.16
2023-06-13,S001,P0009,99,100.07,99.19,99.59
2023-06-13,S001,P0020,67,67.19,67.8,67.53
2023-06-14,S003,P0004,52,52.55,51.26,51.84
2023-06-14,S002,P0015,103,102.87,103.84,103.4
2023-06-14,S003,P0010,72,71.78,70.8,71.24
2023-06-14,S001,P0020,103,101.86,101.89,101.88
2023-06-14,S004,P0001,106,95.55,96.91,96.3
2023-06-14,S004,P0020,127,122.51,122.74,122.64
2023-06-14,S004,P0018,70,69.91,71.66,70.87
2023-06-14,S005,P0001,270,264.74,267.86,266.46
2023-06-14,S004,P0011,89,84.19,87.07,85.77
2023-06-14,S001,P0015,158,157.96,157.28,157.59
2023-06-14,S005,P0006,23,22.96,24.23,23.66
2023-06-14,S001,P0010,128,128.41,128.31,128.36
2023-06-14,S005,P0018,156,157.06,160.97,159.21
2023-06-14,S001,P0019,86,87.08,85.19,86.04
2023-06-14,S001,P0008,130,129.7,128.87,129.24
2023-06-14,S004,P0004,134,134.05,134.71,134.41
2023-06-14,S001,P0004,100,100.38,100.11,100.23
2023-06-14,S003,P0002,120,125.63,122.15,123.72
2023-06-14,S005,P0002,130,122.41,126.96,124.91
2023-06-14,S005,P0009,205,205.86,203.68,204.66
2023-06-14,S003,P0011,44,43.74,43.8,43.77
2023-06-14,S002,P0018,64,61.56,62.43,62.04
2023-06-14,S002,P0006,92,89.7,92.26,91.11
2023-06-14,S004,P0008,112,112.46,112.49,112.48
