,Inventory Level,Units Sold,Units Ordered,Price,Discount,Promotion,Competitor Pricing,Epidemic,Demand,time_idx,is_weekend,month_sin,month_cos,dow_sin,dow_cos,store_freq,product_freq,store_product_freq,Category_Clothing,Category_Electronics,Category_Furniture,Category_Groceries,Category_Toys,Region_East,Region_North,Region_South,Region_West,Weather Condition_Cloudy,Weather Condition_Rainy,Weather Condition_Snowy,Weather Condition_Sunny,Seasonality_Autumn,Seasonality_Spring,Seasonality_Summer,Seasonality_Winter
72,136,104,385,20.24,10,0,18.9,0,110,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
73,110,52,122,148.46,10,1,178.25,0,70,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
74,249,42,0,86.47,5,0,81.87,0,44,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
75,155,74,218,110.39,10,0,101.16,0,71,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
76,232,65,0,84.83,10,0,94.7,0,85,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
77,165,64,0,141.31,10,0,150.73,0,67,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
78,146,125,103,56.86,10,0,64.61,0,111,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2659,532,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
79,290,52,0,124.97,10,0,110.39,0,76,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2659,532,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
80,182,75,198,11.46,5,0,9.92,0,84,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10638,2660,532,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
81,131,131,474,48.68,10,1,51.85,0,186,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10638,2660,532,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
82,247,145,0,29.57,20,1,26.3,0,143,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10638,2660,532,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
83,195,143,114,7.45,10,0,8.33,0,121,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10638,2660,532,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
84,187,126,344,20.02,0,0,18.12,0,148,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10638,2660,532,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
85,280,59,300,53.49,5,0,52.34,0,67,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10638,2660,532,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
86,297,74,0,82.73,0,0,79.8,0,85,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10638,2660,532,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
87,229,165,0,73.42,0,0,84.61,0,149,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10638,2660,532,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
88,270,59,268,94.75,0,0,112.34,0,94,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10638,2660,532,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
89,132,132,436,70.86,0,0,63.54,0,136,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10638,2660,532,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
90,220,17,0,62.12,0,0,55.78,0,15,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10638,2660,532,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
91,230,71,371,133.86,5,0,118.2,0,84,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10638,2660,532,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
92,145,82,328,71.03,10,0,78.02,0,116,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10638,2660,532,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
93,193,63,219,161.18,10,1,156.66,0,82,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10638,2660,532,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
94,132,108,203,44.36,10,0,52.84,0,93,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10638,2660,532,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
95,131,59,191,32.84,0,0,39.5,0,76,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10638,2660,532,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
96,159,89,73,33.04,10,0,37.53,0,88,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10638,2660,532,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
97,245,68,0,22.41,0,0,22.24,0,88,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10638,2660,532,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
98,202,42,0,119.15,10,0,102.4,0,47,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10638,2659,531,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
99,131,79,105,28.66,10,0,34.32,0,104,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10638,2659,531,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
100,93,71,0,65.63,5,0,73.66,0,84,1,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,10640,2660,532,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
101,249,116,0,74.44,10,0,87.66,0,175,1,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,10640,2660,532,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
102,133,130,0,66.15,0,0,74.15,0,156,1,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,10640,2660,532,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
103,94,82,183,91.64,10,0,105.17,0,78,1,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,10640,2660,532,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
104,87,87,487,63.35,0,0,61.2,0,103,1,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,10640,2660,532,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
105,149,77,172,36.93,5,0,32.24,0,65,1,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,10640,2660,532,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
106,37,37,497,27.22,0,0,31.11,0,127,1,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,10640,2660,532,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
107,202,37,0,37.38,5,0,42.34,0,58,1,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,10640,2660,532,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
108,166,133,107,93.21,10,0,83.66,0,126,1,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,10640,2660,532,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
109,122,105,498,129.03,10,1,139.76,0,107,1,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,10640,2660,532,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
110,164,152,264,175.19,10,1,187.65,0,130,1,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,10640,2660,532,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
111,168,168,397,96.27,10,1,109.41,0,187,1,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,10640,2660,532,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
112,166,73,90,32.72,10,0,28.94,0,107,1,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,10640,2660,532,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
113,131,81,0,70.94,0,0,66.18,0,75,1,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,10640,2660,532,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
114,138,117,109,15.17,10,1,16.81,0,110,1,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,10640,2660,532,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
115,25,25,0,35.58,0,0,30.98,0,59,1,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,10640,2660,532,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
116,69,33,50,17.76,10,0,16.08,0,42,1,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,10640,2660,532,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
117,203,172,155,66.33,10,0,56.8,0,144,1,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,10640,2660,532,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
118,220,35,0,93.29,10,0,99.51,0,52,1,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,10640,2659,532,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
119,230,93,432,119.87,10,0,111.8,0,92,1,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,10640,2659,532,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
120,0,0,350,86.71,10,0,85.0,0,137,1,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,10640,2660,532,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
121,74,61,0,31.7,0,0,36.09,0,82,1,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,10640,2660,532,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
122,20,20,0,66.64,10,0,61.22,0,58,1,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,10640,2660,532,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
123,49,40,0,36.7,5,0,35.23,0,59,1,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,10640,2660,532,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
124,52,52,412,98.83,5,0,94.92,0,115,1,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,10640,2660,532,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
